Date,Order Number,Customer,Mode,Depart,Arrive,Valid_Order
01-Jan-21,1,Nike,Bike,01-01-2021 00:01,01-01-2021 01:25,1
20-Jan-21,21,Nike,Bike,20-01-2021 00:05,01-01-2021 02:37,1
09-Feb-21,41,Nike,Bike,09-02-2021 00:07,01-01-2021 03:49,1
01-Mar-21,61,Nike,Bike,01-03-2021 00:08,01-01-2021 05:01,1
21-Mar-21,81,Nike,Bike,21-03-2021 00:10,01-01-2021 06:13,1
10-Apr-21,101,Nike,Bike,10-04-2021 00:11,01-01-2021 07:25,1
18-Apr-21,109,Nike,Bike,18-04-2021 00:12,01-01-2021 07:53,1
08-May-21,129,Nike,Bike,08-05-2021 00:13,01-01-2021 09:05,1
28-May-21,149,Nike,Bike,28-05-2021 00:15,01-01-2021 10:17,1
17-Jun-21,169,Nike,Bike,17-06-2021 00:16,01-01-2021 11:29,1
07-Jul-21,189,Nike,Bike,07-07-2021 00:18,01-01-2021 12:41,1
27-Jul-21,209,Nike,Bike,27-07-2021 00:19,01-01-2021 13:53,1
04-Aug-21,217,Nike,Bike,04-08-2021 00:20,01-01-2021 14:22,1
24-Aug-21,237,Nike,Bike,24-08-2021 00:21,01-01-2021 15:34,1
13-Sep-21,257,Nike,Bike,13-09-2021 00:22,01-01-2021 16:46,1
03-Oct-21,277,Nike,Bike,03-10-2021 00:24,01-01-2021 17:58,1
23-Oct-21,297,Nike,Bike,23-10-2021 00:25,01-01-2021 19:10,1
12-Nov-21,317,Nike,Bike,12-11-2021 00:27,01-01-2021 20:22,1
20-Nov-21,325,Nike,Bike,20-11-2021 00:27,01-01-2021 20:51,1
10-Dec-21,345,Nike,Bike,10-12-2021 00:29,01-01-2021 22:03,1
30-Dec-21,365,Nike,Bike,30-12-2021 00:30,01-01-2021 23:15,1
19-Jan-22,385,Nike,Bike,19-01-2022 00:32,02-01-2021 00:27,1
08-Feb-22,405,Nike,Bike,08-02-2022 00:33,02-01-2021 01:39,1
28-Feb-22,425,Nike,Bike,28-02-2022 00:35,02-01-2021 02:51,1
08-Mar-22,433,Nike,Bike,08-03-2022 00:35,02-01-2021 03:20,1
28-Mar-22,453,Nike,Bike,28-03-2022 00:37,02-01-2021 04:32,1
17-Apr-22,473,Nike,Bike,17-04-2022 00:38,02-01-2021 05:44,1
07-May-22,493,Nike,Bike,07-05-2022 00:39,02-01-2021 06:56,1
27-May-22,513,Nike,Bike,27-05-2022 00:41,02-01-2021 08:08,1
